time,elapsed_s,state,battery,fan,water,mode,clean_time_s,clean_area_raw,fault
2026-06-12T14:56:07,209.0,mopping,68,max_plus,high,mop,3375,34,0
2026-06-12T14:56:08,210.2,mopping,68,max_plus,high,mop,3376,34,0
2026-06-12T14:56:09,210.8,mopping,68,max_plus,high,mop,3376,34,0
2026-06-12T14:56:09,211.2,mopping,68,max_plus,high,mop,3377,34,0
2026-06-12T14:56:10,212.3,mopping,68,max_plus,high,mop,3378,34,0
2026-06-12T14:56:11,213.4,mopping,68,max_plus,high,mop,3379,34,0
2026-06-12T14:56:12,213.9,mopping,68,max_plus,high,mop,3380,34,0
2026-06-12T14:56:13,215.0,mopping,68,max_plus,high,mop,3381,34,0
2026-06-12T14:56:14,216.1,mopping,68,max_plus,high,mop,3382,34,0
2026-06-12T14:56:15,217.2,mopping,68,max_plus,high,mop,3383,34,0
2026-06-12T14:56:16,218.3,mopping,68,max_plus,high,mop,3384,34,0
